Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
step 0: train loss 10.8320, val loss 10.8321
iter 215: loss 8.4484, time 2074.53ms, mfu -100.00%
iter 216: loss 8.2106, time 2073.40ms, mfu -100.00%
iter 217: loss 8.3213, time 2076.60ms, mfu -100.00%
iter 218: loss 8.4739, time 2072.53ms, mfu -100.00%
iter 219: loss 8.0888, time 2074.06ms, mfu -100.00%
iter 220: loss 8.3070, time 2076.46ms, mfu -100.00%
iter 221: loss 8.3724, time 2074.51ms, mfu -100.00%
iter 222: loss 8.3234, time 2076.51ms, mfu -100.00%
iter 223: loss 8.3068, time 2079.76ms, mfu -100.00%
iter 224: loss 8.2780, time 2073.66ms, mfu -100.00%
iter 225: loss 8.2282, time 2077.60ms, mfu -100.00%
iter 226: loss 8.0141, time 2075.93ms, mfu -100.00%
iter 227: loss 8.1383, time 2076.18ms, mfu -100.00%
iter 228: loss 8.6057, time 2073.99ms, mfu -100.00%
iter 229: loss 7.8264, time 2078.13ms, mfu -100.00%
iter 230: loss 8.6519, time 2073.40ms, mfu -100.00%
iter 231: loss 8.0690, time 2074.34ms, mfu -100.00%
iter 232: loss 8.1215, time 2073.66ms, mfu -100.00%
iter 233: loss 7.9797, time 2074.26ms, mfu -100.00%
iter 234: loss 8.0695, time 2074.64ms, mfu -100.00%
iter 235: loss 8.0998, time 2075.78ms, mfu -100.00%
iter 236: loss 8.2177, time 2075.18ms, mfu -100.00%
iter 237: loss 7.9572, time 2076.10ms, mfu -100.00%
iter 238: loss 8.3927, time 2081.58ms, mfu -100.00%
iter 239: loss 8.0579, time 2076.28ms, mfu -100.00%
iter 240: loss 7.7991, time 2075.46ms, mfu -100.00%
iter 241: loss 7.8762, time 2074.78ms, mfu -100.00%
iter 242: loss 8.0229, time 2073.98ms, mfu -100.00%
iter 243: loss 8.0444, time 2078.86ms, mfu -100.00%
iter 244: loss 8.1850, time 2074.70ms, mfu -100.00%
iter 245: loss 7.7440, time 2074.22ms, mfu -100.00%
iter 246: loss 8.0193, time 2074.21ms, mfu -100.00%
iter 247: loss 7.7458, time 2075.60ms, mfu -100.00%
iter 248: loss 7.7997, time 2075.20ms, mfu -100.00%
iter 249: loss 8.0374, time 2075.33ms, mfu -100.00%
iter 250: loss 7.9033, time 2074.66ms, mfu -100.00%
iter 251: loss 7.7118, time 2076.54ms, mfu -100.00%
iter 252: loss 7.9696, time 2074.18ms, mfu -100.00%
iter 253: loss 7.7879, time 2076.55ms, mfu -100.00%
iter 254: loss 7.8360, time 2071.40ms, mfu -100.00%
iter 255: loss 7.7818, time 2075.48ms, mfu -100.00%
iter 256: loss 7.8298, time 2077.02ms, mfu -100.00%
iter 257: loss 7.5781, time 2076.16ms, mfu -100.00%
iter 258: loss 7.6051, time 2073.18ms, mfu -100.00%
iter 259: loss 7.9989, time 2074.62ms, mfu -100.00%
iter 260: loss 7.8310, time 2072.96ms, mfu -100.00%
iter 261: loss 7.7169, time 2077.46ms, mfu -100.00%
iter 262: loss 7.6445, time 2074.46ms, mfu -100.00%
iter 263: loss 7.2879, time 2075.81ms, mfu -100.00%
iter 264: loss 7.4891, time 2075.05ms, mfu -100.00%
iter 265: loss 8.4519, time 2076.15ms, mfu -100.00%
iter 266: loss 7.7775, time 2075.14ms, mfu -100.00%
iter 267: loss 7.6306, time 2076.16ms, mfu -100.00%
iter 268: loss 7.7686, time 2075.04ms, mfu -100.00%
iter 269: loss 7.4178, time 2075.05ms, mfu -100.00%
iter 270: loss 7.6427, time 2074.71ms, mfu -100.00%
iter 271: loss 7.6413, time 2081.99ms, mfu -100.00%
iter 272: loss 7.5414, time 2074.06ms, mfu -100.00%
iter 273: loss 7.7641, time 2076.71ms, mfu -100.00%
iter 274: loss 7.7391, time 2074.55ms, mfu -100.00%
iter 275: loss 7.7287, time 2078.00ms, mfu -100.00%
iter 276: loss 7.4734, time 2074.88ms, mfu -100.00%
iter 277: loss 7.4918, time 2073.24ms, mfu -100.00%
iter 278: loss 7.8831, time 2074.73ms, mfu -100.00%
iter 279: loss 7.6795, time 2077.37ms, mfu -100.00%
iter 280: loss 7.4163, time 2076.20ms, mfu -100.00%
iter 281: loss 7.4761, time 2076.27ms, mfu -100.00%
iter 282: loss 7.4652, time 2073.83ms, mfu -100.00%
iter 283: loss 7.9010, time 2074.51ms, mfu -100.00%
iter 284: loss 7.4746, time 2072.78ms, mfu -100.00%
iter 285: loss 7.6498, time 2075.16ms, mfu -100.00%
iter 286: loss 7.2966, time 2073.90ms, mfu -100.00%
iter 287: loss 7.3807, time 2073.65ms, mfu -100.00%
iter 288: loss 7.4878, time 2076.07ms, mfu -100.00%
iter 289: loss 8.0642, time 2076.82ms, mfu -100.00%
